Категория  | Дата | Изменения
Клей | 45568 | Повышены цены на клей и др. сопутствующую продукцию Eurocol
  |   | Изменения с 01 октября 2024г
Ламинат | 45566 | Повышены цены на ламинат Classen, SPC Bonkeel Style и Style HB, повышены цены опта на ламинат Bonkeel
  |   | Изменения с 24 сентября 2024г
Линолеум нарезка Братец лис | 45559 | Повышены цены на нарезку бытового линолеума
  |   | Изменения с 23 сентября 2024г
Линолеум бытовой рулоны | 45558 | Повышены цены на бытовой линолеум
Ламинат | 45558 | Повышены цены на ламинат Tarkett, Sommer, Sinteros, Taiga 
  |   | Изменения с 18 сентября 2024г
Клей | 45553 | Добавлен новый клей и клей-фиксатор Bonkeel Prof. Акция: до 31.10.24 на новинки снижены цены
  |   | Изменения с 16 сентября 2024г
Ламинат | 45551 | Повышены РРЦ на ламинат Bonkeel Nord, Slim и Dream
Ламинат | 45551 | Снижены цены опт на ламинат Alsafloor 
  |   | Изменения с 10 сентября 2024г
Подложка | 45545 | Повышена цена на подложку "Фетр "Нетканая иглопробивная 
  |   | Изменения с 09 сентября 2024г
Бытовой ковролин | 45544 | Добавлен новый бытовой ковролин Bonkeel Zea, Zest, Zodiak, Zephir 
  |   | Изменения с 03 сентября 2024г
Плитка LVT и SPC | 45538 | Окончание акции снижение цен на LVT Funky House декоры Bob, Jade
  |   | Изменения с 02 сентября 2024г
Линолеум нарезка Братец лис | 45537 | Снижены цены на нарезку бытового линолеума коллекции Idylle Nova, Sprint Pro, Gladiator, Caprice, Craft, Discovery, Evropa, Favorit, Grand, Bonus, Comfort, Delta и коммерческого линолеума коллекция Acczent Pro 
Подложка | 45537 | Убрана из прайса подложка Arbiton Afirmax Vinyl Smart 
  |   | Изменения с 30 августа 2024г
Подложка | 45534 | Повышены цены на подложку Arbiton Secura Extra Aquastop Smart, Secura LVT Click Smart, Secura Thermo Aquastop Smart, Secura Max Aquastop Smart, Sprintus 5мм
  |   | Изменения с 28 августа 2024г
Ламинат | 45532 | Добавлены коллекции ламината Kronostar Synonym и Biom 
  |   | Изменения с 26 августа 2024г
Подложка | 45530 | Добавлены РРЦ на подложку для ковролина Bonkeel Soft
  |   | Изменения с 23 августа 2024г
Бытовой ковролин | 45527 | Изменены цены опт на бытовой ковролин Global и Favorit 
  |   | Изменения с 20 августа 2024г
Подложка | 45524 | Повышены цены на пробковую подложку
  |   | Изменения с 13 августа 2024г
Плитка LVT и SPC | 45517 | Добавлена плитка LVT Invictus Primus 
  |   | Изменения с 09 августа 2024г
Бытовой ковролин | 45513 | Изменены структуры прайсов коммерческий и бытовой ковролин
